day,month,year,log_ret,react_label,equally_weighted_index,equally_weighted_volume,date,common
22,12,2020,0.0034155672742058707,Up,272.74800000000005,353376.4,2020-12-22,1
23,12,2020,0.030496530618247492,Up,281.1940000000001,493545.60000000003,2020-12-23,1
28,12,2020,0.006352603872624319,Up,282.98600000000005,380390.80000000005,2020-12-28,1
29,12,2020,0.02351751287223102,Up,289.72,524958.2000000001,2020-12-29,1
30,12,2020,0.0027987858035702345,Up,290.53200000000004,473523.20000000007,2020-12-30,1
4,1,2021,-0.018270614033856818,Down,285.272,608551.6,2021-01-04,1
5,1,2021,0.00928123004937933,Up,287.932,521329.4,2021-01-05,1
6,1,2021,0.0025182552027170273,Up,288.658,580720.6,2021-01-06,1
7,1,2021,0.006230162436707676,Up,290.462,689856.4,2021-01-07,1
8,1,2021,0.016647704380890232,Up,295.338,744560.0000000001,2021-01-08,1
11,1,2021,-0.015072147880193081,Down,290.92,678056.8,2021-01-11,1
12,1,2021,0.0023141085047844634,Up,291.59400000000005,495282.4,2021-01-12,1
13,1,2021,-0.027981002785693182,Down,283.548,730102.2,2021-01-13,1
14,1,2021,-0.015868609229312065,Down,279.084,778589.2000000001,2021-01-14,1
15,1,2021,0.0025122134636182823,Up,279.78600000000006,537860.6,2021-01-15,1
18,1,2021,0.0034894335647336263,Up,280.764,478511.2,2021-01-18,1
19,1,2021,0.026549578854483863,Up,288.318,784607.4,2021-01-19,1
20,1,2021,-0.017981299802129914,Down,283.18,566242.8,2021-01-20,1
21,1,2021,0.03020520248998337,Up,291.86400000000003,622067.6000000001,2021-01-21,1
22,1,2021,-0.010117340385469383,Down,288.92600000000004,439781.60000000003,2021-01-22,1
25,1,2021,-0.018471822742054084,Down,283.63800000000003,751059.6000000001,2021-01-25,1
26,1,2021,-0.008369494008003428,Down,281.274,539691.2,2021-01-26,1
27,1,2021,0.021970095837615267,Up,287.522,912884.2000000001,2021-01-27,1
28,1,2021,0.008498781886249968,Up,289.97600000000006,793012.2,2021-01-28,1
29,1,2021,0.001908680248568804,Up,290.53,536259.0,2021-01-29,1
1,2,2021,0.02081244119377501,Up,296.64000000000004,563584.7999999999,2021-02-01,1
2,2,2021,0.01009584452670394,Up,299.65000000000003,517642.2,2021-02-02,1
3,2,2021,0.007845002505247242,Up,302.01,475937.19999999995,2021-02-03,1
4,2,2021,-0.008759820957564956,Down,299.37600000000003,383122.19999999995,2021-02-04,1
5,2,2021,0.005051087924736009,Up,300.892,462235.4,2021-02-05,1
8,2,2021,-0.0074322006810803466,Down,298.664,463822.4000000001,2021-02-08,1
