day,month,year,log_ret,react_label,date,common
8,5,2017,0.020542664,Up,2017-05-08,1
9,5,2017,0.005257159,Up,2017-05-09,1
10,5,2017,-0.020830481,Down,2017-05-10,1
11,5,2017,-0.006075987,Down,2017-05-11,1
12,5,2017,0.011485122,Up,2017-05-12,1
15,5,2017,-0.005775524,Down,2017-05-15,1
16,5,2017,0.021385005,Up,2017-05-16,1
18,5,2017,-0.015289627,Down,2017-05-18,1
19,5,2017,0.026652264,Up,2017-05-19,1
22,5,2017,-0.015176694,Down,2017-05-22,1
23,5,2017,-0.004247005,Down,2017-05-23,1
24,5,2017,-0.010919459,Down,2017-05-24,1
26,5,2017,-0.019857773,Down,2017-05-26,1
29,5,2017,-0.002831191,Down,2017-05-29,1
30,5,2017,0.018732893,Up,2017-05-30,1
31,5,2017,0.009522802,Up,2017-05-31,1
1,6,2017,0.021209309,Up,2017-06-01,1
2,6,2017,0.005901904,Up,2017-06-02,1
6,6,2017,0.001778321,Up,2017-06-06,0
7,6,2017,-0.011201019,Down,2017-06-07,1
8,6,2017,-0.005117429,Down,2017-06-08,0
9,6,2017,-0.012345151,Down,2017-06-09,0
12,6,2017,0.007992852,Up,2017-06-12,1
13,6,2017,-0.026953213,Down,2017-06-13,1
14,6,2017,-0.001391303,Down,2017-06-14,1
15,6,2017,-0.005534449,Down,2017-06-15,1
16,6,2017,0.010822184,Up,2017-06-16,1
19,6,2017,-0.003462685,Down,2017-06-19,1
20,6,2017,0.039471991,Up,2017-06-20,1
21,6,2017,-0.003232354,Down,2017-06-21,1
22,6,2017,-0.009125921,Down,2017-06-22,1
23,6,2017,-0.005330794,Down,2017-06-23,1
26,6,2017,-0.007767642,Down,2017-06-26,1
27,6,2017,-0.031930511,Down,2017-06-27,0
28,6,2017,0.000934503,Up,2017-06-28,1
29,6,2017,-0.019425152,Down,2017-06-29,1
30,6,2017,0.015552716,Up,2017-06-30,1
3,7,2017,-0.016119338,Down,2017-07-03,1
4,7,2017,0.006672445,Up,2017-07-04,1
5,7,2017,-0.010114674,Down,2017-07-05,1
6,7,2017,-0.016139237,Down,2017-07-06,1
7,7,2017,0.007661061,Up,2017-07-07,1
10,7,2017,0.007247091,Up,2017-07-10,1
11,7,2017,-0.018426931,Down,2017-07-11,1
12,7,2017,0.021674267,Up,2017-07-12,1
13,7,2017,0.004339007,Up,2017-07-13,1
14,7,2017,-0.00764748,Down,2017-07-14,1
17,7,2017,0.02449329,Up,2017-07-17,1
18,7,2017,-0.012727259,Down,2017-07-18,1
19,7,2017,-0.001548323,Down,2017-07-19,1
20,7,2017,0.012387964,Up,2017-07-20,1
21,7,2017,-0.022122889,Down,2017-07-21,1
24,7,2017,0.006769849,Up,2017-07-24,1
25,7,2017,0.012068898,Up,2017-07-25,1
26,7,2017,0.021511115,Up,2017-07-26,1
27,7,2017,-0.00988954,Down,2017-07-27,1
28,7,2017,-0.002737258,Down,2017-07-28,1
31,7,2017,-0.004378774,Down,2017-07-31,1
1,8,2017,0.027868429,Up,2017-08-01,1
2,8,2017,0.000138938,Up,2017-08-02,1
3,8,2017,0.020686641,Up,2017-08-03,1
4,8,2017,0.018136126,Up,2017-08-04,1
