topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
topic33,benchmark,genet,egg,health,breed,nutrit,advanc,commerci,busi,launch,program,broodstock,sign,pye,aquagen,select,deliv,progress,suppli,posit,agreement,gener,resist,anim,next,area,core,trial,jv,complet,restructur,shrimp,provid,success,joint_ventur,step,key,return,firm,deliveri,strateg,mileston,line,field,ova,toward,major,cleantreat,unit,divis,enhanc,williksen,malcolm,european,number,research,adjust,pipelin,biotechnolog,specialist,technic,repres,part,purif,london,salten,seabass,hendrix,secur,stofnfiskur,lead,pleas,vet,facil,manufactur,breakthrough,profunda,vaccin,round,genom,benefit,closer,non,ectosan,full,period,sept,biosecur,ground,biotech,conjunct,plampin,promis,expens,ensur,term,georg,dispos,structur,divest
 ,0.08,0.047,0.041,0.027,0.02,0.017,0.017,0.017,0.014,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic34,impact,term,challeng,situat,posit,despit,remain,short,affect,financi,neg,effect,signific,face,maintain,difficult,gener,although,pressur,optimist,confid,longer,consequ,cours,futur,due,earli,nova_austr,normal,significantli,larg,provid,tough,advers,non,minim,salmones_austr,felt,scenario,chang,overal,spring,same_tim,uncertainti,usual,feel,warn,bad,therefor,strongli,difficulti,joint_ventur,place,setback,without,balanc,rest,last,circumst,especi,mitig,secur,clear,realiz,distribut,assum,may,certain,except,robust,wors,forese,major,issu,unlik,predict,experienc,persist,dynam,trusal,liquid,pattern,defin,shrug,next,unpredict,basi,caus,ongo,red,hard,ensur,recur,nevertheless,main,februari,worst,refer,implic,suspens
 ,0.136,0.057,0.045,0.035,0.034,0.031,0.03,0.028,0.027,0.027,0.024,0.024,0.023,0.016,0.015,0.014,0.014,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic35,quarter,last_year,second_quart,earn,compar,first_quart,volum,ebit,third_quart,harvest_volum,fourth_quart,same_period,lower,segment,weight,same_quart,post,revenu,earnings_before_interest,operational_ebit,gut,correspond,strong,kg,neg,tax,saw,total,ebit_per_kilo,biolog,loss,divis,record,achiev,amount,vap,releas,salmon_pric,guidanc,overal,ago,fair_value_adjust,posit,quarterli,spot_pric,came,significantli,operating_profit,oslo,equival,struggl,spot,good,combin,decreas,higher,taxat,drag,percent_drop,percent_increas,highest,previou,sold,slightli,bear,deliv,end,whole,contract,weaker,percent_year,winter,salmon_harvest,halv,realiz,kilo,operational_ebit_per_kilo,strong_demand,gradual,origin,drop,satisfi,gwe,guid,ad,dividend,turnaround,respect,throughout,improv,norskott,biomass,despit,solid,mh,aug,underli,fare,same_tim,due
 ,0.101,0.051,0.046,0.043,0.042,0.042,0.038,0.034,0.033,0.024,0.022,0.02,0.019,0.019,0.015,0.015,0.014,0.014,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic36,billion,trout,largest,russian_aquacultur,rub,reach,total,amount,site,annual,countri,river,sea,volum,atlantic_salmon,last_year,potenti,addit,commerci,distribut,end,toward,spring,russia,domest,sosnov,compar,rais,six,rainbow,first_half,tripl,seven,fish_farm,creat,strategi,barent,lead,output,spo,biomass,expand,involv,vertic,salmonid,jump,integr,aim,goal,secondari,lake,fold,ilya,white,fri,farmed_salmon_product,financi,farmed_salmon,primari,right,murmansk,watkin,allow,karelia,exceed,achiev,salmon_market,idaho,public_off,board_of_director,due,moscow,region,cultiv,stock_exchang,consolid,within,huge,eight,success,step,aquaculture_sector,summer,sogo,salmon_produc,sold,invest,term,float,signific,thousand,loso,russkiy,chill,russian,futur,previous,regist,stock,number
 ,0.084,0.066,0.032,0.03,0.028,0.027,0.02,0.019,0.019,0.017,0.017,0.017,0.016,0.014,0.014,0.014,0.013,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic37,tuna,margin,thai_union,billion,profit,stabl,busi,raw_materi,thb,red,quarter,gross,shelf,shrimp,lobster,brand,due,unit,net,remain,raw,chill,target,metric_ton,bee,bumbl,analyst,percent_year,expens,categori,sujiravorakul,core,loss,secur,gain,thai,third_quart,bualuang,chansiri,frozen,contribut,drop,recent,greater,fourth_quart,ago,rise,client,recoveri,exchang,relat,sardin,tu,jump,second_quart,record,chicken,thailand,post,strong,pressur,incom,mackerel,foreign,surg,re,led,peak,help,item,innov,dollar,exclud,west,recur,ambient,pet,boost,assum,volatil,turnaround,skipjack,domestic_market,oem,outweigh,fitch,catch,solid,gate,yellowfin,caus,term,second_half,lead,king,pass,shallow,march,oscar,oversea
 ,0.063,0.041,0.032,0.029,0.028,0.024,0.019,0.017,0.017,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic38,biomar,factori,feed,volum,divis,improv,raw_materi,revenu,due,diaz,line,mainli,addit,full,competit,custom,signific,busi,driven,chang,sold,europ,start,capac,condit,danish,part,overal,guidanc,gener,reach,chile,consolid,carlo,perform,contribut,sever,rel,maintain,turkey,rang,strengthen,foreign,unit,exchang,challeng,ecuador,feed_giant,joint_ventur,especi,non,expans,cover,emerg,annual,salmon_market,near,rate,mix,primarili,good,geograph,gradual,market_shar,dkk,effect,fish_farm,function,enhanc,emea,fish_fe,despit,extrem,moder,declin,effici,australia,substanti,initi,progress,focus,advanc,charg,complet,salmon_fe,alimentsa,crucial,reduc,mostli,greater,extens,partli,variou,led,co,exist,southern,domstein,predominantli,profit
 ,0.062,0.042,0.041,0.034,0.026,0.022,0.021,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic39,atlantic_sapphir,land,facil,miami,danish,denmark,andreassen,phase,florida,based_salmon_farm,share_pric,based_salmon_farmer_atlantic_sapphir,based_salmon,united_st,updat,die,confid,board,system,lost,tank,bluehous,loss,founder,oyehaug,target,march,mass,incid,johan,stock,annual,billund,part,recent,lovik,karl,wednesday,string,ceo_johan_andreassen,supplier,ra,close,need,experienc,investor,recirculating_aquaculture_system,oystein,vatn,biomass,financ,earlier,member,main,publix,complet,co,growout,bjorn,event,emerg,problem,head,langsand,grow,thursday,six,vegard,usa,latest,oxygen,hog,gut,design,comment,gain,based_salmon_produc,platina,push,juli,addit,challeng,last_month,setback,stock_exchang,wipe,earli,oslo_stock_exchang,mark,devast,publish,smaller,eagl,forc,fresh,giant,weak,struggl,filter,lose
 ,0.113,0.049,0.036,0.036,0.024,0.023,0.017,0.015,0.013,0.012,0.012,0.011,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic40,cost,higher,lower,biolog,reduc,due,improv,challeng,perform,good,better,reduct,achiev,addit,effici,condit,contribut,low,margin,larg,rate,level,production_cost,gener,period,signific,relat,capac,effect,weak,mainli,save,util,consider,substanti,yield,meanwhil,significantli,expens,fix,volum,same_tim,incur,particularli,offset,factor,driven,remain,attribut,solid,competit,whole,amount,strengthen,financi,averag,poor,maintain,led,underli,ongo,favor,non,reflect,effort,extra,ratio,especi,experienc,mix,alloc,realiz,pay,deriv,competitor,character,distribut,somewhat,rest,dive,situat,costli,rent,shrink,iversen,satisfactori,boost,mortal,stabl,nevertheless,variou,despit,variat,focu,combin,overal,profit,greater,give,bottom
 ,0.194,0.044,0.04,0.039,0.037,0.035,0.032,0.029,0.027,0.021,0.02,0.017,0.015,0.014,0.013,0.013,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0
topic41,invest,fund,capit,investor,firm,partner,rais,ventur,equiti,founder,interest,focus,sustain,broodstock,portfolio,sole,aqua,privat,ocean,potenti,return,co,round,technolog,launch,stolt,private_equ,spark,alreadi,asset,target,across,seafood_compani,start,money,space,risk,look,attract,tyssoy,holberg,value_chain,earli,new_york,seek,agricultur,speci,financ,advisor,institut,stage,fundrais,mettler,turbot,opportun,ambiti,former,startup,special,localcoho,backer,triton,pe,point,seafood_sector,roll,expand,consid,walton,close,vele,small,vehicl,deploy,momentum,sector,adm,vision,seven,caviar,haga,baldegg,maritech,eye,sens,cogan,pioneer,lovethewild,grow,finger,moe,inject,wealth,gibson,right,novogratz,relat,establish,jordheim,nielsen
 ,0.158,0.078,0.056,0.056,0.019,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic42,covid,pandem,coronaviru,foodservic,demand,retail,lockdown,crisi,19_pandem,busi,restrict,impact,normal,sector,restaur,shift,uncertainti,disrupt,global,home,hit,particularli,recoveri,amid,return,logist,help,recov,supply_chain,measur,despit,experienc,level,begin,pre,reopen,open,abl,suffer,collaps,order,forc,period,channel,effect,closur,eas,ongo,reduc,pick,although,inventori,gradual,keep,onset,spread,line,relat,hotel,taken,switch,horeca,struggl,shut,adapt,hope,cater,toward,bar,unpreced,shutdown,stay,surg,flexibl,challeng,resili,viru,fallout,wave,blow,digit,segment,situat,felt,vaccin,heavili,close,toll,uncertain,batter,remain,servic,bright,extent,cafe,across,corona,slow,sharp,remaind
 ,0.075,0.05,0.048,0.039,0.038,0.026,0.023,0.023,0.019,0.018,0.017,0.016,0.016,0.015,0.014,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic43,site,isa,author,diseas,confirm,outbreak,detect,viru,area,sampl,infect,infectious_salmon_anemia,food_safeti,suspect,case,test,inspect,affect,found,cage,remov,control,possibl,locat,carri,presenc,find,inform,await,earli,spread,forc,weight,infecti,contain,juli,veterinari,notifi,cold,municip,analysi,near,trom,establish,surveil,averag,zone,separ,determin,cull,consequ,suspicion,finnmark,may,conduct,routin,belong,prevent,deadli,institut,virus,subject,without,variant,posit,empti,consist,laboratori,ipn,origin,cove,relev,store,special,extent,must,transfer,analyz,restrict,order,combat,lab,anaemia,fri,map,estim,contact,destroy,therefor,extract,anemia,examin,nearbi,kilomet,approxim,mattilsynet,aquat,diagnosi,monitor,oct
 ,0.108,0.057,0.05,0.036,0.036,0.033,0.023,0.022,0.019,0.018,0.018,0.016,0.016,0.015,0.015,0.014,0.014,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic44,alaska,processor,bristol_bay,state,trident,peter_pan,pacif,ocean_beauti,fisheri,cook,silver_bay,facil,may,north,icicl,plant,vessel,seattl,fishermen,obi,seafood_industri,sever,washington,seafood_compani,asmi,dillingham,major,maruha_nichiro,corpor,alaska_salmon,alaskan,nativ,fleet,addit,inc,salmon_process,groundfish,commun,largest,bundrant,canfisco,creek,northwest,deep,world,owner,mckinley,recent,gillam,reach,econom,gener,bbedc,naknek,leader,part,past,mike,merg,presid,kodiak,cod,offici,depart,valdez,campbel,outsid,rodger,sea,though,resid,decad,wild_salmon,apicda,primarili,sitka,member,marubeni,king,bere,alaska_pollock,offic,salmon_season,recent_year,california,latest,brought,recruit,overcapac,catcher,critic,sockeye_salmon,inlet,chief,prior,canneri,governor,valuabl,joe,petersburg
 ,0.079,0.029,0.024,0.024,0.022,0.021,0.02,0.02,0.018,0.014,0.014,0.014,0.014,0.013,0.01,0.01,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic45,acquisit,deal,acquir,hold,purchas,stake,transact,announc,agreement,ownership,giant,largest,owner,invest,integr,major,asset,firm,buy,consolid,control,percent_stak,move,subsidiari,give,competit,famili,complet,merger,synergi,snap,private_equ,close,processor,bought,activ,sign,financi,partner,busi,distribut,rival,agre,privat,supplier,ltd,form,part,ink,merg,vertic,conglomer,intern,parent,entiti,approv,takeov,parent_compani,expand,foothold,enter,corpor,player,offload,dutch,reach,exit,headquart,enterpris,sell,cash,wholli,resourc,mitsubishi,distributor,specialti,foot,undisclos,mark,inc,term,premium,advisor,sa,subject,spree,august,final,eye,combin,access,exclus,sharehold,suitor,jointli,respect,expertis,disclos,run,gain
 ,0.092,0.087,0.083,0.033,0.028,0.026,0.022,0.022,0.02,0.02,0.02,0.019,0.018,0.017,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.013,0.013,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic46,volum,last_year,rise,record,reach,level,higher,overal,rose,show,strong,doubl,saw,climb,figur,jump,percent_increas,despit,nearli,compar,hit,first_half,surg,grew,slightli,highest,boost,declin,june,respect,almost,past,steadi,mark,meanwhil,soar,stronger,spike,prior,previou,versu,gain,peak,account,surpass,boom,histor,last,hike,rocket,ton,dramat,upward,sharpli,sharp,skyrocket,drive,previous_year,inflat,signific,end,risen,lag,shortfal,somewhat,favor,bumper,track,half,pre,leap,smash,lift,remark,meant,drove,fluctuat,thank,dollar,heavi,ride,third,roughli,reveal,shot,near,trend,dip,suggest,mix,high_pric,streak,creep,though,statist,similar,brought,inevit,trajectori,bag
 ,0.075,0.063,0.061,0.04,0.039,0.036,0.03,0.023,0.02,0.019,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic47,licens,project,applic,concept,permit,appli,grant,receiv,cage,reject,decis,approv,biomass,innov,cermaq,light,area,eight,appeal,municip,ministri,directorate_of_fisheri,director,auction,offshor,allow,maximum,six,green,licenc,close,norwegian_salmon_farm,design,final,assess,origin,permiss,ifarm,award,round,individu,submit,decid,signific,eid,test,exist,fisheri,part,hope,condit,traffic,aqua,initi,marin,document,meter,arctic,mab,subsea,fjordbruk,zone,nordland,convert,atlanti,expos,refus,submers,obtain,counti,rig,deadlin,odd,artic,solut,donut,fish_farm,scheme,erko,basi,total,og,wait,aquatraz,author,eidsfjord,bulandet,diamet,anchor,reuter,ingebrigtsen,gigant,excit,recognit,lovundlak,ordinari,scope,sogn,drill,roxel
 ,0.081,0.054,0.041,0.039,0.031,0.031,0.025,0.025,0.02,0.015,0.014,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic48,world,stori,news,look,execut,editor,yet,coronaviru,week,better,discuss,thing,next,farmed_salmon,latest,listen,keep,page,read,play,free,search,might,analysi,problem,eye,littl,big,stop,previou,check,effect,version,intellig,team,visit,break,cannot,hand,add,join,correct,appear,money,thought,innov,googl,secret,chief,find,salmon_industri,headlin,let,farmed_salmon_sector,plu,solut,press,podcast,coverag,promis,newli,ground,pleas,depth,maker,heart,seafood_compani,bigger,subscrib,email,featur,give,threaten,daili,journey,america,matter,beat,exactli,alaska_pollock,wait,storm,feel,dirti,insight,shock,guess,pop,stay,artifici,topic,newslett,hear,seafood_industri,think,episod,top,fail,itun,exuber
 ,0.029,0.028,0.025,0.023,0.017,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic49,jb,huon,anim,welfar,australian,sharehold,practic,invest,meat,statement,offer,assur,rspca,review,sustain,tattarang,commit,share,giant,propos,board,watch,forrest,environment,standard,support,takeov,australia,andrew,scheme,consid,video,bid,world,approach,want,potenti,give,global,aug,control,brazilian,suspend,heavyweight,approv,vote,aud,indic,magnat,issu,op,protein,question,photo,confirm,earlier,repres,show,doubl,canadian,pork,mine,favor,staniford,interest,film,stake,agrifood,footag,threat,financi,salmon_produc,cooke_aquacultur,complic,arrang,neil,build,senat,reportedli,initi,appar,baker,kearney,agenc,poor,husbandri,subject,ahead,run,compel,later,behemoth,opposit,push,unsolicit,premium,ad,may,agri,present
 ,0.042,0.04,0.025,0.024,0.019,0.017,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,court,case,lawsuit,alleg,file,claim,investig,fix,request,document,action,judg,rule,fine,inform,santa,legal,plaintiff,order,commiss,class,violat,appeal,competit,barbara,defend,agreement,pay,complaint,relat,involv,ongo,district,agre,evid,without,suit,fail,repres,conduct,european,breach,deni,act,juli,lawyer,settlement,ask,law,accus,smokehous,sever,argu,practic,reason,feder,anti,seek,suprem,attorney,decis,particip,compens,among,prosecutor,dismiss,motion,name,collus,cite,regard,proceed,allow,allegedli,earlier,provid,refus,charg,termin,author,su,fne,concern,subsidiari,extens,brown,contract,statement,fee,reject,matter,requir,crimin,behavior,usa,purchas,co,brought,quash,similar
