topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.062,0.053,0.045,0.04,0.037,0.036,0.033,0.03,0.028,0.024,0.024,0.02,0.019,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic11,environment,govern,regul,fisheri,environ,propos,protect,impact,decis,regulatori,requir,review,assess,nation,author,committe,act,agenc,approv,law,issu,call,consid,state,action,legisl,subject,commiss,marin,feder,polici,approach,rule,recommend,chang,legal,econom,resourc,ensur,introduc,move,hear,bill,statement,finfish,seek,minist,decad,releas,iuu,step,zone,effect,welcom,address,exempt,need,adopt,parliament,determin,draft,forward,appli,concern,appropri,code,consult,object,illeg,enforc,resolut,argu,noaa,certain,oppos,controversi,statu,scientif,meet,potenti,complianc,guidelin,secretari,overfish,want,formal,sepa,outcom,congress,european,recogn,pass,essenti,acknowledg,specif,thorough,lawmak,polit,exclus,unless
 ,0.05,0.035,0.032,0.028,0.027,0.027,0.017,0.016,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic12,canada,decis,cermaq,british_columbia,minist,bc,first_nat,nation,discovery_island,mowi,canadian,site,fisheri,transfer,west,govern,commun,ocean,jordan,provinc,feder,territori,netpen,dfo,indigen,island,review,phase,allow,mowi_canada,right,consult,wai,court,agreement,region,employe,closur,vancouv,announc,transit,peopl,licens,trudeau,parti,impact,chief,area,support,discuss,wild_salmon,leader,ask,member,job,coast,associ,bernadett,judici,june,river,kai,liber,close,cull,council,repres,employ,elect,tradit,state,kum,department_of_fisheri,justin,wei,farmer,nova_scotia,move,local,layoff,engag,campbel,loss,clearwat,coastal,alreadi,coalit,locat,remov,phillip,point,grieg,deni,dobrinski,directli,option,hatcheri,xai,dunn,arm
 ,0.046,0.031,0.025,0.024,0.024,0.021,0.021,0.019,0.017,0.015,0.014,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,certif,asc,standard,sustain,certifi,global,program,respons,fisheri,best,aquaculture_stewardship_council,bap,practic,msc,achiev,audit,requir,commit,label,eco,scheme,gaa,allianc,marin,initi,award,director,recogn,environment,seachoic,stewardship_council,gssi,ngo,intern,third,independ,processing_pl,technic,aim,stamp,star,parti,fip,launch,chain,awar,realiti,social,reserv,complianc,fee,specif,assess,inform,nab,suspend,criteria,obtain,mileston,polici,nonprofit,stakehold,tool,valid,entir,consist,bodi,logo,websit,safeti,organ,origin,use,mill,custodi,structur,fraud,site,proud,guidelin,becam,critic,essenti,accredit,exceed,statu,cover,align,effect,provid,fao,credibl,six,method,rfm,revis,friend,dedic,pti,csc
 ,0.075,0.054,0.044,0.042,0.04,0.027,0.022,0.022,0.02,0.018,0.018,0.018,0.018,0.016,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic14,aquachil,chile,region,magallan,chilean,agrosup,nova_austr,clp,chilean_salmon_farm,lo,sernapesca,concess,fiordo,invermar,servic,salmones_austr,friosur,center,joint_ventur,aysen,addit,consolid,approv,puchi,provid,author,worth,chilean_salmon_industri,los_lago,distribut,announc,national_fisheri,xi,salmon_product,sanitari,tilapia,puerto,xii,june,recent,trusal,chilean_salmon_compani,agro,account,southern,suspens,delgado,restructur,chilean_salmon_produc,francisco,la,allow,posit,nicolaid,countri,carri,misreport,effort,chilean_salmon_sector,verlasso,togeth,nation,competitor,salmon_industri,montt,logist,costa,free,de,asset,patagonia,era,evalu,larco,amount,miranda,legal,chilean_salmon,output,marina,south,granja,sadi,condit,hugo,victor,sixti,obtain,vial,rica,processing_pl,salmon_compani,commerci,remain,begin,entri,welcom,subsidi,nico,yadran
 ,0.085,0.08,0.05,0.033,0.033,0.031,0.026,0.023,0.022,0.019,0.018,0.017,0.016,0.016,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic15,leroy,cod,whitefish,catch,quota,wild,fisheri,austevol,haddock,pelag,leroy_seafood_group,fishmeal,leroy_seafood,havfisk,metric_ton,mackerel,trout,atlant,peru,speci,beltestad,sector,season,peruvian,total,subsidiari,signific,caught,relat,giant,start,norcod,anchovi,asset,north,pelagia,white,austral,hen,pacif,substanti,aurora,segment,reduct,saith,ago,sjotrol,raw_materi,fish_oil,fluctuat,rise,factor,nok,fleet,associ,midt,foodcorp,vessel,realiz,within,cut,volatil,behind,tac,downstream,hors,involv,across,meanwhil,seafood_gi,main,copeinca,trawler,redfish,sirena,onshor,frozen,recent_year,havbruk,halibut,central,aa,cfg,extrem,hold,sardin,birkeland,norwegian_seafood_gi,fillet,captur,barent,distribut,nov,danmark,compris,namibia,pesquera,humphrey,polit,br
